city,state,zipcode,name,open_now,place_id,price_level,rating,user_ratings_total,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bar,beauty_salon,bicycle_store,book_store,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,department_store,drugstore,electronics_store,establishment,finance,florist,food,funeral_home,furniture_store,gas_station,general_contractor,grocery_or_supermarket,hair_care,hardware_store,health,home_goods_store,jewelry_store,laundry,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,night_club,park,parking,pet_store,pharmacy,point_of_interest,premise,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,travel_agency
New York,NY,10001,GameStop ThinkGeek,True,ChIJCWTvPalZwokRwSEEj9zfLrE,2.0,4.3,1843,stores,10001,40.7491141,-73.9877009,P2X6+JW New York,87G8P2X6+JW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,SEPHORA,True,ChIJpWqDsa5ZwokRXiFnDD_ATwo,2.0,4.0,526,stores,10001,40.7499844,-73.9887784,P2X6+XF New York,87G8P2X6+XF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Sprint Store,True,ChIJr1UyQalZwokRxP-IHEYFo5I,2.0,3.0,15,stores,10001,40.7503882,-73.9896052,Q226+55 New York,87G8Q226+55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Party City,True,ChIJLRQy1a1ZwokR61gQz4M_u-c,2.0,4.1,1132,stores,10001,40.7515861,-73.9915722,Q225+J9 New York,87G8Q225+J9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,buybuy BABY,True,ChIJ69ddSqVZwokRNYW85ssVYSY,2.0,4.2,322,stores,10001,40.74579689999999,-73.99475319999999,P2W4+83 New York,87G8P2W4+83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,"b8ta New York, Herald Square",True,ChIJe3omHqxZwokRPZ86t7Fn5ok,,4.0,25,stores,10001,40.7507815,-73.9889592,Q226+8C New York,87G8Q226+8C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,"Printed Matter, Inc.",True,ChIJLQJnarhZwokRHJ0KgCtCSdA,,4.7,218,stores,10001,40.7506953,-74.00592689999999,QX2V+7J New York,87G7QX2V+7J,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Barn Joo 35,True,ChIJfzDanalZwokReBUChuK5tmI,2.0,4.4,792,restaurant,10001,40.7496521,-73.98581229999999,P2X7+VM New York,87G8P2X7+VM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Oscar Wilde,True,ChIJgbdZ6aVZwokRxtWri-IDLJw,3.0,4.4,1611,restaurant,10001,40.7451576,-73.99010129999999,P2W5+3X New York,87G8P2W5+3X,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Haymaker Bar and Kitchen,True,ChIJ8bLkJLBZwokRYVmAyFdpJIc,2.0,4.3,610,restaurant,10001,40.7486658,-73.99531069999999,P2X3+FV New York,87G8P2X3+FV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Mykonos Bleu,True,ChIJCZTGeK9ZwokRgLsqvaZf7Gw,2.0,4.0,385,restaurant,10001,40.74681289999999,-73.9917078,P2W5+P8 New York,87G8P2W5+P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,biricchino,True,ChIJr0oZMbBZwokRoHkeDJOY__M,2.0,4.3,255,restaurant,10001,40.7488744,-73.9954687,P2X3+GR New York,87G8P2X3+GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
