Zip (ZCTA),State,County,City,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margin of Error,Per capita income in the past 12 months (in 2018 Inflation-adjusted dollars),Margin of Error,Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
10455,New York,Bronx,New York,"$26,801 ","$2,157 ","$15,012 ","$1,153 ","42,283","59,295.0","15,066","$330,000 "
10456,New York,Bronx,New York,"$27,106 ","$1,336 ","$15,315 ","$1,261 ","94,218","92,585.0","32,349","$345,200 "
10457,New York,Bronx,New York,"$27,420 ","$1,711 ","$15,091 ",$990 ,"74,554","70,392.0","25,867","$376,600 "
10458,New York,Bronx,New York,"$33,932 ","$2,403 ","$16,992 ","$1,079 ","83,960","83,517.6","29,042","$383,400 "
10459,New York,Bronx,New York,"$27,687 ","$1,741 ","$15,770 ","$1,043 ","48,351","58,950.1","17,792","$389,400 "
10460,New York,Bronx,New York,"$26,866 ","$1,774 ","$15,344 ",$920 ,"59,505","45,341.2","21,458","$412,700 "
10461,New York,Bronx,New York,"$56,612 ","$2,865 ","$28,845 ","$1,533 ","50,348","21,026.2","20,277","$451,100 "
10462,New York,Bronx,New York,"$52,409 ","$1,675 ","$25,705 ","$1,047 ","76,756","52,066.9","31,120","$300,000 "
10463,New York,Bronx; New York,New York,"$58,551 ","$2,626 ","$34,911 ","$1,688 ","71,360","49,208.9","29,973","$287,400 "
10464,New York,Bronx,New York,"$93,365 ","$22,230 ","$49,875 ","$5,145 ","4,434","1,277.0","2,157","$531,800 "
10465,New York,Bronx,New York,"$74,796 ","$4,003 ","$34,284 ","$1,359 ","44,205","13,012.4","16,842","$462,100 "
10466,New York,Bronx,New York,"$51,477 ","$2,857 ","$24,043 ",$940 ,"72,479","35,994.6","25,110","$422,700 "
10467,New York,Bronx,New York,"$37,015 ","$1,971 ","$19,100 ",$806 ,"103,732","44,413.5","38,530","$335,400 "
10468,New York,Bronx,New York,"$36,046 ","$1,969 ","$17,454 ",$803 ,"78,647","73,450.8","27,515","$194,000 "
10469,New York,Bronx,New York,"$63,652 ","$3,740 ","$25,877 ",$866 ,"73,870","29,873.7","23,659","$438,900 "
10470,New York,Bronx,New York,"$57,160 ","$5,241 ","$31,829 ","$2,214 ","15,432","10,792.2","6,404","$424,400 "
10471,New York,Bronx,New York,"$85,707 ","$4,043 ","$49,313 ","$3,485 ","21,896","8,515.1","9,668","$345,500 "
10472,New York,Bronx,New York,"$30,977 ","$1,753 ","$16,098 ",$726 ,"68,796","65,283.5","23,392","$451,900 "
10473,New York,Bronx,New York,"$41,638 ","$1,563 ","$22,755 ","$1,605 ","59,609","27,869.9","21,955","$381,600 "
10474,New York,Bronx,New York,"$25,493 ","$5,640 ","$13,667 ","$2,088 ","12,127","7,928.8","4,067","$427,800 "
10475,New York,Bronx,New York,"$50,832 ","$5,357 ","$28,976 ","$2,261 ","43,208","25,123.6","19,080","$27,600 "
