zipcode,name,place_id,rating,user_ratings_total,price_level,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,dentist,department_store,drugstore,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,liquor_store,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,movie_theater,moving_company,night_club,park,parking,pet_store,pharmacy,plumber,point_of_interest,premise,real_estate_agency,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,veterinary_care,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,avg_price_level_by_zipcode,avg_rating_by_zipcode,avg_user_ratings_total_by_zipcode,total_number_of_bars_by_zipcode,total_number_of_cafes_by_zipcode,user_ratings_total_per_capita,rating_weighed_population_density,open_now_False,open_now_True,open_now_nan
91775.0,Ski & Snowboard Outlet,ChIJz3Y7sAzbwoARHZ21PlGY6ys,4.5,115.0,,stores,91775,34.1300521,-118.07190990000002,"4WJH+26 San Gabriel, California",85634WJH+26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25192,8211.4,8664,9.224194290418652,,1.5333333333333334,4.038235294117647,152.58823529411765,1,4,0.004564941251190854,36951.299999999996,0,1,0
90048.0,Cod,ChIJVQWjvku5woAREG6v5dLYP3c,4.5,215.0,,restaurant,90048,34.0728722,-118.37365,"3JFG+4G Los Angeles, California",85633JFG+4G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22892,12139.4,13382,13.051881887034256,,2.393939393939394,4.204255319148936,401.97872340425533,4,10,0.009391927310850952,54627.299999999996,0,1,0
90266.0,Mangiamo Restaurant,ChIJeSNeZOuzwoARhSYDpFeNZd8,4.5,128.0,3.0,restaurant,90266,33.884412,-118.41094,"VHMQ+QJ Manhattan Beach, California",8553VHMQ+QJ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,35573,9037.1,15363,12.978818387159105,13.5,2.0,4.4050847457627125,425.8813559322034,11,20,0.0035982346161414556,40666.950000000004,0,1,0
91723.0,McDonald's,ChIJz6-_jPkow4ARdoqQiTFksaY,3.8,854.0,1.0,coffee shops,91723,34.0865341,-117.87294740000002,"34PG+JR Covina, California",856434PG+JR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18875,8126.6,6439,7.028165306659648,3.8,1.5,4.306976744186046,390.04651162790697,1,6,0.04524503311258278,30881.08,0,1,0
91505.0,Starbucks,ChIJ9Zz8Vs2_woAR9yZAB03kupo,4.2,11.0,2.0,coffee shops,91505,34.154790999999996,-118.346528,"5M33+W9 Burbank, California",85635M33+W9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30680,6086.9,13431,7.884136040920957,8.4,1.7674418604651163,4.135000000000001,410.18333333333334,6,21,0.0003585397653194263,25564.98,0,1,0
91740.0,Taco Grill,ChIJ11wAgikmw4ARRZWKzqYgq3c,4.7,124.0,1.0,restaurant,91741,34.1216196,-117.8720399,"44CH+J5 Glendora, California",856444CH+J5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,26115,5245.8,8681,5.734593132557887,4.7,1.5833333333333333,4.386274509803923,374.84313725490193,2,10,0.004748228987172124,24655.260000000002,0,1,0
91502.0,Lancers Family Restaurant,ChIJNX7bH12VwoAR8ZMgPn3S7s0,4.4,932.0,1.0,restaurant,91502,34.1803669,-118.320118,"5MJH+4X Burbank, California",85635MJH+4X,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,11598,8640.3,5579,13.149133614701025,4.4,1.7083333333333333,4.2363636363636346,816.7424242424242,9,12,0.08035868253147094,38017.32,0,1,0
90028.0,Starbucks,ChIJQ7VDBTm_woAR3F-0mwhR2EM,4.0,779.0,2.0,coffee shops,90028,34.101484,-118.3265,"4M2F+HC Hollywood, Los Angeles, CA",85634M2F+HC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30734,20162.9,19555,16.537115323423787,8.0,2.1020408163265305,4.221739130434785,828.536231884058,8,22,0.0253465217674237,80651.6,0,1,0
90241.0,The Home Depot,ChIJCex64crNwoARH0rGgpMSrCo,4.1,1254.0,1.0,stores,90241,33.9493674,-118.1558433,"WRXV+PM Downey, California",8553WRXV+PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,44143,8964.8,14029,7.812950885900617,4.1,1.6551724137931034,4.232500000000003,1280.975,4,7,0.02840767505606778,36755.67999999999,0,1,0
90230.0,CVS,ChIJRQ7i31K3woAR0uYLkP7sHmc,3.2,27.0,,stores,90094,33.9826473,-118.39228159999999,"XJM5+33 Culver City, California",8553XJM5+33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,32808,7275.7,13782,8.626994062744027,,1.8275862068965518,4.276315789473684,884.5,5,8,0.0008229700073152889,23282.24,0,1,0
90301.0,Scottle's Gumbo & Grill,ChIJlR48jFe2woARnC2OylAxavo,4.4,67.0,2.0,restaurant,90305,33.9509697,-118.34410679999999,"XM24+99 Inglewood, California",8553XM24+99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,37291,15051.6,12686,8.983799705449188,8.8,1.4722222222222223,4.247058823529411,467.9019607843137,2,7,0.0017966801641146658,66227.04000000001,0,1,0
91741.0,Nelson's Drug Store,ChIJ8RDn2jkmw4ARkMZRqioQmi4,5.0,11.0,,stores,91741,34.137623,-117.8656361,"44QM+2P Glendora, California",856444QM+2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26565,1791.6,9320,6.204545025218656,,1.7692307692307692,4.18,123.77142857142857,0,6,0.00041407867494824016,8958.0,0,1,0
90022.0,Tacos Ensenada,ChIJbWukrp7PwoARPgahFo-fvDE,4.4,626.0,1.0,restaurant,90022,34.0336888,-118.1536131,"2RMW+FH East Los Angeles, California",85632RMW+FH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,65890,15037.8,18328,8.615044043720888,4.4,1.5483870967741935,4.174,406.38,0,11,0.009500682956442555,66166.32,0,1,0
91791.0,7-Eleven,ChIJ_QsvMkUow4AR1Th_ueizUU8,2.0,8.0,1.0,stores,91791,34.070164,-117.88971880000001,"34C6+34 West Covina, California",856434C6+34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,34363,5179.3,10628,7.0045741129929535,2.0,1.65625,4.095348837209302,558.5348837209302,6,7,0.0002328085440735675,10358.6,0,1,0
90014.0,Doña Inez Restaurant,ChIJJZtWUsvHwoARcXuO7aoZSYM,4.5,112.0,1.0,restaurant,90014,34.0405517,-118.2528712,"2PRW+6V Los Angeles, California",85632PRW+6V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8335,29433.5,6115,15.224363443679056,4.5,1.7777777777777777,4.420000000000001,343.45714285714286,4,12,0.013437312537492502,132450.75,1,0,0
90221.0,La Premier Market,ChIJdxTmEWDLwoARhQMC9JULw6U,3.9,68.0,,stores,90221,33.8930826,-118.2070895,"VQVV+65 Compton, California",8553VQVV+65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,52322,9813.4,12651,6.802428120257576,,1.2857142857142858,4.038461538461537,346.64102564102564,0,5,0.0012996445090019495,38272.259999999995,0,1,0
