zipcode,population,population_density_square_miles,housing_units,home_price_to_income_ratios
11239,13244,21455.7,6962,18.425324675324674
11354,55200,25342.4,22500,11.727058823529411
11355,80853,46594.6,30432,14.632591118932844
11356,23362,14815.5,8202,10.353264014018151
11357,39902,14196.3,15973,8.086860192255006
11358,37190,19084.4,13993,11.380786039407823
11360,19621,14080.8,9501,6.057511546406109
11361,27246,15432.4,11086,7.9464878270285375
11362,18721,7397.8,7484,5.847395862532937
11363,6952,8081.9,2737,7.727689136575311
11364,36806,14915.3,14231,6.999792175403959
11365,44983,18002.2,16238,9.954424439330355
11366,14650,13403.3,5028,9.231548297252816
11367,41824,17756.9,15802,8.280254777070065
11368,112425,42754.6,30734,10.488808394196507
11369,34118,31291.4,12931,10.47652482400547
11370,32514,21817.0,10406,10.313680911855972
11372,61844,83481.2,26057,5.7641487682457475
11373,93967,61733.7,33886,10.65783560947971
11374,42653,45228.0,20974,5.721885340637419
11375,73488,36942.9,35281,4.905515134960642
11377,86421,34068.8,33753,9.273811611997894
11378,37279,14466.8,13871,8.25412842785649
11379,37851,18243.3,14614,7.803764836571318
11385,106717,29513.3,38325,8.052753214043536
11411,20759,17772.7,6482,4.6047165590848085
11412,37458,22742.1,11871,5.440859941159239
11413,42443,13672.9,13115,5.175849126546499
11414,29219,12637.7,11409,7.038577489950871
11415,19372,34228.7,9521,5.097080270594781
11416,27125,40992.1,7768,7.780791864929367
11417,31927,28529.5,9764,6.563249073872304
11418,38517,23607.6,11769,7.848880877272045
11419,49618,44324.6,13338,6.792979882057504
11420,48489,23340.9,14180,7.036448212918801
11421,41002,31780.5,12746,6.627258346515694
11422,32082,16006.8,10356,4.918473693057657
11423,31400,22185.5,10499,6.760026186206701
11426,20801,15418.1,6584,6.111280024323502
11427,24037,15203.6,7983,6.5432214639117205
11428,18929,22762.2,5973,6.4071425663848895
11429,27403,21179.7,7752,5.2198462277751085
11432,62053,28870.2,20030,10.44431724680714
11433,36489,23550.9,11574,7.987034413151918
11434,65791,20129.5,22575,6.468725384603019
11435,59296,38792.2,19742,6.137065817807321
11436,20077,25310.9,6008,5.270992264958401
11691,67094,24372.6,22126,10.022319977463324
11692,20991,20937.3,7411,8.674813737961113
11693,12919,13101.5,5453,5.229593982938197
11694,21354,15980.5,9492,8.043123888559574
11697,3540,1363.9,2553,5.511681791851709
