zipcode,population,population_density_square_miles,housing_units,home_price_to_income_ratios
12092,706,47.2,513,2.980845208577423
12093,1632,24.7,1297,3.06132359511276
12094,2550,90.3,1063,2.103509444817336
12095,12228,201.6,5334,1.9736967320759027
12106,2427,166.5,1318,3.2496589358799453
12108,395,2.8,971,3.643519106258728
12110,22041,1500.7,7823,3.0679965110546474
12116,1666,43.3,1138,2.3065217391304347
12117,3094,69.0,2169,2.7273925900811813
12118,15218,482.0,7163,3.561313978465201
12120,623,35.6,389,3.4653037968126803
12121,1597,77.5,619,2.773986947533408
12122,4313,39.9,2868,2.473168455436304
12123,5492,168.3,2390,2.236497228548103
12124,675,256.1,328,3.1756380694919297
12125,1385,77.2,863,3.2669767441860467
12131,85,12.0,76,2.9259574468085106
12132,267,143.6,134,5.60975138601812
12134,4186,21.7,3002,2.8694906654068904
12136,699,38.5,304,4.904206152200447
12137,1762,73.4,765,2.8864864864864863
12138,3300,41.1,1922,2.7271786379631546
12139,156,0.7,768,3.125
12140,1552,187.3,691,2.136441381005541
12143,4800,247.9,2294,2.9986984228942344
12144,20272,1070.7,9668,2.5932633103947844
12147,529,26.9,337,3.571851851851852
12148,4414,282.1,1916,2.930021758013055
12149,2388,51.1,1363,2.7168010824476134
12150,895,822.3,374,2.1013365595114646
12151,792,305.7,378,2.2927273701698914
12153,1027,57.0,522,3.037974683544304
12154,2807,67.4,1243,2.6476521739130434
12155,1809,31.8,1123,2.3405186127903277
12156,1151,80.2,429,3.379604377010675
12157,4228,97.0,1925,2.664257174594227
12158,6852,224.0,2754,2.599192207175101
12159,7845,556.8,3547,3.732742644720538
12160,872,49.2,363,2.141495204758246
12164,347,7.5,562,2.2916729362905897
12165,191,59.2,121,3.2914549653579677
12166,1193,27.2,629,2.923495223128539
12167,2737,59.9,1597,3.171346372577444
12168,2053,58.8,1105,2.106261859582543
12169,222,23.3,105,1.682750060062465
12170,5061,168.0,2104,3.102345266863153
12172,271,575.2,156,3.5971385372238394
12173,2100,122.1,839,2.216122664214825
12174,316,274.9,139,1.9988372093023257
12175,570,25.8,443,2.4952787298034553
12176,517,155.4,216,2.5010625863351397
12177,305,495.4,280,1.984549356223176
12180,53437,973.4,24637,3.254287169619107
12182,14928,1086.4,7048,3.094362093532677
12183,2591,3467.9,1355,2.433868372806525
12184,6871,178.3,3153,3.099875897048508
12185,2262,93.1,933,3.093481749782823
12186,6047,191.2,2754,2.4869674283698506
12187,598,26.0,395,3.447600391772772
12188,10952,843.8,5072,3.1911579259698835
12189,17563,2756.4,9059,3.294813326118884
12190,851,4.8,754,2.7986430821419916
12192,1954,113.8,824,1.8776698117636013
12193,1828,47.0,1018,2.291334057091768
12194,121,7.8,119,2.063983488132095
12195,121,61.9,71,6.377543859649123
12196,3371,381.3,1340,2.4224616389160953
12197,2023,30.2,1283,2.721233285069415
12198,7772,593.3,3151,2.577895584834074
12202,9624,4704.8,5606,3.383625851038352
12203,31251,2739.4,14511,3.5003535710677847
12204,7628,1875.5,3910,3.470523660035052
12205,27212,1719.8,11895,2.980795551137428
12206,15944,7503.8,7943,3.365727243278264
12207,1688,1596.5,1068,9.901991779955738
12208,21896,5217.7,10918,3.1326683450715445
12209,9383,4382.0,4684,2.9998480127669276
12210,9706,10821.7,6722,3.3992421932842647
12211,10752,1357.3,4321,2.895777903998884
12302,27407,647.2,12047,2.4546929943197187
12303,28233,1835.5,12988,2.670239027033536
12304,22833,3349.1,10102,2.470483584020702
12305,5059,3340.9,3303,4.089800512788443
12306,26599,617.3,11448,2.44275495973728
12307,6115,8631.6,3577,3.7340577374648927
12308,15422,6836.7,7300,2.5118615685180017
12309,30397,1834.9,11804,2.2796620387115922
12401,35339,604.7,16376,3.491588360109124
12404,3306,92.6,2183,4.099516196212874
12405,652,91.3,338,4.054794520547945
12406,922,21.3,677,4.586594911937378
12407,137,40.7,158,6.349588279328414
12409,771,54.0,534,4.01685734143839
12411,389,415.1,203,3.389948006932409
12412,562,92.6,471,3.2773477435373155
12413,2815,172.2,1531,3.317168227817268
12414,10203,171.2,5474,4.199369085173502
12416,281,55.3,224,11.104651162790697
12418,573,41.5,414,2.637037037037037
12419,540,225.5,305,4.2207627762489235
12422,307,30.1,251,1.382057047263128
12423,1089,85.6,677,4.5319952080649175
12424,276,15.5,445,2.4674698795180725
12428,7022,130.1,3351,3.0383715187563074
12430,1147,28.9,1163,4.085254195691983
12431,1129,73.0,726,3.424390243902439
12432,431,719.8,226,3.881620055668112
12433,549,143.7,365,4.150530775889562
12434,754,54.8,519,2.7766702739648004
12435,308,30.9,196,6.234513067464585
12439,290,37.0,514,5.385274731770757
12440,1999,86.5,974,3.9486237487006424
12442,785,23.7,1626,7.891241503242441
12443,3378,187.5,1876,2.436187467987024
12444,486,31.5,676,4.219831828306024
12446,4902,72.2,2745,3.848870056497175
12448,464,39.8,370,3.37299183406431
12449,3433,948.0,1356,3.365766857229395
12451,1536,130.1,597,2.524905818334031
12453,291,589.9,222,9.750020312542318
12454,363,32.6,324,3.782033729040156
12455,1749,22.8,1872,4.334455667789001
12456,851,1575.3,243,2.2879664226851615
12457,893,63.9,618,5.066024096385542
12458,2804,86.7,1294,2.5213857518130176
12460,373,180.8,194,4.919925512104283
