zipcode,total_art_gallery,total_atm,total_bakery,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_cafe,total_car_dealer,total_car_repair,total_car_wash,total_clothing_store,total_convenience_store,total_department_store,total_drugstore,total_electronics_store,total_finance,total_florist,total_food,total_funeral_home,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_jewelry_store,total_laundry,total_liquor_store,total_local_government_office,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_night_club,total_park,total_parking,total_pet_store,total_pharmacy,total_restaurant,total_school,total_shoe_store,total_shopping_mall,total_spa,total_storage,total_store,total_supermarket,total_tourist_attraction,total_travel_agency,total_open_now_False,total_open_now_True,total_open_now_nan,mean_price_level,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,rating_weighed_population_density,log_mean_user_ratings_total,log_mean_rating,log_user_ratings_total_per_capita
11355,0,0,4,0,0,0,0,6,0,1,0,3,1,0,1,0,1,0,32,0,2,0,0,5,0,2,1,4,0,0,1,0,0,0,4,2,0,0,0,0,1,0,25,0,1,0,0,0,25,2,0,0,3,35,7,1.5263157894736843,80853,46594.6,30432,14.632591118932845,6.159532163742692,188035.09688888895,5.151748979459899,1.3951439763968734,-6.148638990608343
10465,0,0,3,4,0,1,0,9,0,0,0,3,3,1,2,0,0,1,35,0,1,0,0,2,0,1,5,2,2,0,2,0,0,0,11,2,0,0,0,0,1,3,26,0,1,0,0,0,27,1,0,0,4,43,1,1.5,44205,13012.4,16842,6.178137868335205,6.159374999999997,53432.167499999974,5.593006085025342,1.4125102032507832,-5.103587098814563
10028,0,0,3,7,1,0,0,15,0,1,0,5,7,1,3,3,0,0,41,0,3,0,1,0,1,0,4,6,0,0,1,0,0,0,4,3,0,0,0,0,0,1,23,0,0,0,0,0,34,0,0,0,2,50,1,1.8611111111111112,47793,152562.2,28983,9.735496244206491,7.753459119496857,635579.8822641511,5.872330363212731,1.4269654008508186,-4.902304101028274
10314,0,0,11,5,0,1,0,17,0,1,0,8,5,3,5,6,1,1,48,0,4,0,0,5,0,0,8,5,3,0,0,0,0,0,6,2,0,0,0,0,0,1,33,0,3,1,0,0,38,1,0,0,0,60,0,1.8,90761,6634.5,33268,5.5947522538101495,7.389000000000001,27234.6225,6.2747934080688905,1.4122057429043917,-5.141191548833824
10031,0,0,3,6,0,0,0,12,0,0,0,2,3,1,2,1,0,2,40,0,0,0,0,4,0,1,3,0,0,0,2,0,0,0,8,0,0,1,0,0,1,0,27,0,1,0,0,0,31,3,0,0,4,46,1,1.6551724137931034,60254,92805.8,23802,8.358220921609107,6.967951318458418,390694.22078431374,5.52638992678525,1.4374160721604097,-5.479934312405423
11205,1,0,6,4,0,1,1,13,0,0,0,2,2,0,1,1,0,0,39,0,2,0,1,5,0,4,2,5,1,0,2,0,1,0,5,1,0,0,0,0,0,0,25,0,0,0,0,0,33,3,0,0,8,42,2,1.7352941176470589,46064,48748.8,17664,12.608450306835016,7.458427601809955,209526.09230769234,5.589981883147185,1.4581676954721963,-5.147805129704773
10473,0,0,2,1,0,0,0,4,0,2,0,4,3,2,3,0,0,0,31,0,0,0,0,4,0,1,4,1,0,0,3,0,0,0,5,2,0,0,0,0,0,2,22,0,1,0,0,0,24,0,0,0,1,39,3,1.2272727272727273,59609,27869.9,21955,9.164705317258273,4.803488372093025,109081.49232558144,5.567189923056435,1.3645479855031981,-5.42837192530805
10030,0,0,2,1,0,0,0,7,0,0,0,1,3,0,0,0,0,0,38,0,0,0,0,5,0,1,2,1,0,0,4,0,0,0,5,2,0,0,0,0,0,1,24,0,0,0,0,0,27,1,0,0,3,36,8,1.5,29882,107115.2,13940,16.289750752041257,5.674468085106384,405214.5225531916,5.344266619715865,1.3305117213697457,-4.960744951695165
10305,0,0,6,7,0,1,0,6,0,0,0,3,5,1,4,1,0,1,37,0,2,0,0,5,0,0,4,2,0,0,3,0,0,0,6,1,0,0,0,0,0,0,25,0,0,1,0,0,25,2,0,0,4,41,0,1.851851851851852,42298,10631.3,16068,5.7589980258599285,7.78189300411523,44675.085111111126,5.18228280142577,1.4356134858940923,-5.470212281166925
11237,0,0,7,5,0,3,1,17,0,0,0,1,0,0,0,1,0,0,41,0,2,0,0,4,0,1,0,3,0,0,2,0,0,0,7,1,0,0,0,0,1,0,25,0,0,0,0,0,37,1,0,0,12,42,2,1.56,49310,50124.0,17987,12.677727423025305,6.752571428571429,216965.31428571427,5.294918740613229,1.46523756346001,-5.510963438604942
