Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
90302,"$47,863 ","30,828","16,282.80","11,438","$410,400 "
90303,"$50,438 ","24,693","11,088.80","7,524","$425,400 "
90304,"$44,574 ","25,591","16,335.10","6,772","$409,500 "
90305,"$74,009 ","15,397","6,661.60","6,211","$468,800 "
90401,"$72,872 ","7,256","8,550.10","5,475","$1,101,900 "
90402,"$147,111 ","11,866","5,921.60","5,914","$2,000,001 "
90403,"$107,335 ","24,354","17,060.20","14,709","$1,104,100 "
90404,"$75,221 ","22,819","11,451.20","10,697","$808,800 "
90405,"$94,446 ","28,115","10,625.80","15,156","$1,304,200 "
90501,"$70,671 ","42,335","7,527.80","15,534","$622,300 "
90502,"$69,824 ","18,188","8,137.00","6,415","$429,700 "
90503,"$90,102 ","44,908","8,477.30","17,890","$751,200 "
90504,"$86,563 ","33,721","7,576.20","12,333","$610,100 "
90505,"$96,827 ","37,641","6,496.90","14,867","$834,600 "
90601,"$74,296 ","33,058","2,913.40","11,513","$500,700 "
90602,"$51,237 ","25,981","7,001.70","8,081","$506,200 "
90603,"$98,181 ","21,299","6,514.80","6,863","$583,000 "
90604,"$70,877 ","42,063","9,871.20","12,649","$488,900 "
90605,"$75,575 ","40,957","7,246.70","10,764","$449,400 "
90606,"$70,640 ","32,803","8,671.30","9,026","$428,600 "
90640,"$53,615 ","63,177","7,440.80","20,502","$467,300 "
90650,"$66,453 ","105,886","10,793.40","28,475","$410,400 "
90660,"$65,617 ","63,380","8,178.40","17,229","$415,100 "
90670,"$67,500 ","16,578","1,959.00","5,038","$432,300 "
90701,"$63,792 ","16,858","10,342.20","4,861","$506,300 "
90704,"$69,828 ","3,922",52.4,"2,495","$714,400 "
90706,"$55,729 ","77,529","12,689.60","25,209","$436,200 "
90710,"$59,817 ","28,185","11,972.90","9,495","$468,900 "
90712,"$91,242 ","31,063","7,252.90","11,027","$519,300 "
90713,"$100,132 ","29,061","8,562.80","9,544","$565,100 "
90715,"$72,616 ","20,136","11,841.40","6,389","$446,500 "
90716,"$45,150 ","14,344","15,403.70","3,970","$342,400 "
90717,"$69,150 ","21,696","10,951.20","8,932","$583,600 "
90723,"$53,031 ","54,776","11,692.70","15,041","$323,600 "
90731,"$51,161 ","61,850","6,753.80","24,571","$552,600 "
90732,"$99,519 ","22,273","6,500.40","9,194","$596,600 "
90744,"$47,776 ","57,206","6,860.60","15,174","$374,400 "
90745,"$76,551 ","56,821","6,846.30","15,673","$418,600 "
90746,"$84,523 ","26,996","4,628.30","8,244","$462,100 "
90755,"$75,461 ","11,555","5,302.80","4,776","$487,000 "
90802,"$53,358 ","39,453","6,082.50","22,796","$385,700 "
90803,"$87,870 ","32,389","8,031.30","18,166","$857,100 "
90804,"$49,860 ","39,344","18,608.90","15,728","$476,600 "
90805,"$49,370 ","96,708","13,126.30","28,113","$374,900 "
90806,"$49,962 ","42,817","12,439.60","13,323","$437,100 "
90807,"$77,488 ","32,067","5,493.00","13,245","$582,300 "
90810,"$58,095 ","38,579","5,761.30","9,578","$385,000 "
90813,"$36,075 ","59,000","18,383.60","18,179","$364,800 "
90814,"$69,867 ","18,587","13,722.80","9,649","$658,700 "
91001,"$98,289 ","37,711","4,567.80","13,785","$693,900 "
91006,"$100,730 ","33,012","5,225.00","11,378","$960,500 "
91007,"$80,166 ","34,523","6,210.50","12,800","$1,015,900 "
91008,"$117,955 ","1,141",563.6,563,"$1,606,100 "
91010,"$72,381 ","26,601","3,778.50","8,419","$445,600 "
91011,"$161,450 ","20,423","1,723.00","7,030","$1,403,000 "
91016,"$74,076 ","41,671","4,908.80","15,173","$614,800 "
91020,"$73,839 ","8,720","11,595.40","3,829","$595,600 "
91024,"$96,630 ","11,006","3,727.70","5,075","$924,400 "
91030,"$96,692 ","25,794","7,561.90","10,878","$985,000 "
91040,"$81,940 ","20,207","2,463.30","7,717","$543,600 "
91042,"$55,507 ","26,631",533.8,"10,617","$529,400 "
91101,"$65,592 ","21,394","16,085.40","12,253","$523,400 "
91103,"$69,059 ","28,425","5,276.10","9,088","$671,700 "
91104,"$74,011 ","37,974","9,978.50","13,826","$698,600 "
91105,"$122,917 ","12,191","3,302.10","6,153","$1,093,200 "
91106,"$80,291 ","25,375","8,615.00","11,832","$713,300 "
91107,"$95,630 ","32,364","3,933.10","13,752","$802,400 "
91108,"$158,884 ","13,538","3,552.60","5,171","$1,862,500 "
91201,"$58,004 ","23,619","10,032.10","8,600","$709,600 "
91202,"$70,841 ","23,317","11,376.30","9,224","$730,200 "
91203,"$55,783 ","15,000","18,325.40","6,081","$494,800 "
91204,"$45,245 ","18,720","16,655.00","6,630","$480,700 "
91205,"$43,769 ","37,618","19,893.90","15,074","$545,000 "
91206,"$62,915 ","34,386","5,845.60","14,079","$750,000 "
91207,"$88,365 ","11,371","2,501.40","4,374","$1,032,600 "
91208,"$102,950 ","16,049","2,325.30","6,127","$867,600 "
91210,"$159,500 ",689,"15,652.60",371,"$506,600 "
91214,"$100,625 ","30,654","4,062.00","10,893","$732,300 "
91301,"$121,614 ","25,631",751.6,"9,736","$784,500 "
91302,"$129,145 ","26,634",997.2,"9,872","$1,201,400 "
91303,"$55,130 ","31,053","14,353.90","10,342","$432,300 "
91306,"$67,869 ","49,158","11,878.80","15,039","$474,700 "
91316,"$74,611 ","29,964","5,984.20","12,903","$668,900 "
91321,"$68,831 ","34,355","1,327.40","11,338","$450,000 "
91324,"$75,949 ","29,617","6,747.40","10,538","$588,300 "
91325,"$68,642 ","34,635","7,178.30","12,475","$638,700 "
91326,"$112,865 ","37,035","4,539.00","13,533","$719,800 "
91331,"$60,360 ","105,799","11,951.00","23,978","$391,600 "
91335,"$60,413 ","80,524","12,266.50","25,052","$459,200 "
91340,"$53,564 ","36,227","10,714.30","9,288","$399,200 "
