zipcode,total_art_gallery,total_atm,total_bakery,total_bank,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_bowling_alley,total_cafe,total_car_dealer,total_car_repair,total_car_wash,total_clothing_store,total_convenience_store,total_dentist,total_department_store,total_drugstore,total_electronics_store,total_finance,total_florist,total_food,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_gym,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_hospital,total_insurance_agency,total_jewelry_store,total_laundry,total_liquor_store,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_movie_theater,total_moving_company,total_night_club,total_park,total_parking,total_pet_store,total_pharmacy,total_plumber,total_real_estate_agency,total_restaurant,total_school,total_shoe_store,total_shopping_mall,total_spa,total_storage,total_store,total_supermarket,total_tourist_attraction,total_veterinary_care,total_open_now_False,total_open_now_True,total_open_now_nan,mean_user_ratings_total,mean_rating,mean_price_level,mean_Unnamed: 0,population,population_density_square_miles,housing_units,price_level*rating,user_ratings_total_per_capita,rating*population_density,log_home_price_to_income_ratios
91773,0,0,4,0,3,0,0,1,0,14,0,0,0,6,2,0,2,2,1,1,1,43,5,0,0,6,0,0,2,3,7,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,1,0,0,0,25,0,2,0,0,0,32,1,0,0,7,44,2,317.52830188679246,4.1547169811320765,1.75,14559.150943396226,34496,2411.8,12181,7.270754716981134,0.009204786116848112,10020.346415094344,1.866852022471314
90011,0,0,1,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1,0,0,0,23,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,1,0,0,2,24,3,236.7586206896552,4.389655172413794,1.2,562.8275862068965,109414,25528.8,25200,5.267586206896552,0.0021638786689971595,112062.62896551726,2.2496868105416836
90241,0,0,2,0,4,0,0,0,0,7,0,0,0,7,2,0,3,2,1,1,0,27,4,0,0,3,0,0,1,2,5,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,19,0,3,1,0,0,26,0,0,0,0,40,0,1280.975,4.2325,1.6551724137931034,4318.35,44143,8964.8,14029,7.0055172413793105,0.029018757220850417,37943.515999999996,2.055782726792445
90278,0,0,2,0,2,1,0,0,0,11,0,1,0,6,2,0,4,2,1,0,0,33,4,0,0,5,0,1,0,3,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,3,1,0,0,25,2,0,0,1,41,1,526.1627906976744,4.2558139534883725,1.6206896551724137,5235.581395348837,40649,11280.6,16305,6.897353648757017,0.012944052515379821,48008.13488372094,1.9490529051776366
90605,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,206.0,4.066666666666666,1.0,6837.333333333332,40957,7246.7,10764,4.066666666666666,0.005029665258685939,29469.91333333333,1.782787819085707
91750,0,1,2,0,4,0,0,1,0,11,0,1,0,3,2,0,3,2,2,2,0,40,3,0,0,5,0,0,0,3,5,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,27,3,0,0,4,48,0,262.0,4.359615384615385,1.71875,14197.903846153846,33836,1340.3,12292,7.4930889423076925,0.007743232060527249,5843.1925,1.8842174824267888
90006,0,0,4,0,2,0,0,0,0,11,0,0,0,2,2,0,1,2,3,0,1,35,0,0,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,26,2,0,0,2,41,2,522.6888888888889,4.199999999999998,1.5862068965517242,333.7111111111111,61698,32137.8,20880,6.662068965517239,0.008471731480581038,134978.75999999995,2.805102029962124
90047,0,0,1,0,0,0,0,0,0,5,0,1,0,5,1,0,0,1,1,0,0,28,0,0,1,4,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,0,2,1,0,0,21,0,0,0,0,35,4,561.6923076923076,4.117948717948718,1.4166666666666667,2590.5128205128203,48883,10333.5,18426,5.833760683760684,0.011490544927527107,42552.82307692308,2.11813392431282
91106,1,0,1,0,1,0,0,1,0,3,0,3,0,2,2,0,0,1,2,0,0,29,2,0,0,2,0,0,0,3,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,21,0,0,0,3,35,5,328.20930232558135,4.148837209302325,1.84,9703.116279069767,25375,8615.0,11832,7.633860465116278,0.012934356741894831,35742.232558139534,2.1842445543137963
91402,0,0,0,0,0,0,0,0,0,1,0,3,0,4,1,0,3,1,3,0,0,18,4,0,0,2,0,0,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,17,1,0,0,1,29,0,532.0666666666667,4.1033333333333335,1.5,12177.566666666668,70686,18966.0,20159,6.155,0.007527185958558508,77823.82,2.196153259370113
90402,0,0,0,0,2,1,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,2,15,1,150.77777777777774,3.855555555555555,2.3,5591.555555555556,11866,5921.6,5914,8.867777777777777,0.012706706369271679,22831.057777777776,2.6097155556685174
91204,0,0,0,0,1,0,0,0,0,8,0,2,0,0,2,0,1,1,0,0,0,24,1,0,1,1,0,0,1,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,18,0,0,0,1,27,2,368.6,3.93,1.631578947368421,10042.933333333332,18720,16655.0,6630,6.412105263157895,0.01969017094017094,65454.15,2.3631512080968187
90302,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,2,21,0,269.5217391304348,4.447826086956521,1.5384615384615383,5334.434782608696,30828,16282.8,11438,6.8428093645484935,0.008742757854237537,72423.06260869563,2.148789530515913
93591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.0,5.0,,15516.0,6579,79.8,2145,,0.00045599635202918376,399.0,1.3259696424450949
90020,0,0,0,0,3,0,0,0,0,8,0,0,0,2,2,0,1,3,2,0,0,34,2,0,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,21,1,0,0,3,36,1,444.125,4.16,1.9259259259259256,789.55,39102,34594.2,18501,8.011851851851851,0.011358114674441205,143911.872,2.5580577693602575
90065,0,0,2,0,0,0,0,0,0,7,0,0,0,2,1,0,1,1,2,0,0,21,3,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,16,1,0,0,4,24,1,314.27586206896547,4.317241379310345,1.368421052631579,2962.4827586206898,47887,9071.6,16302,5.907803992740472,0.006562863868460448,39164.28689655173,2.333505023822541
90040,0,0,0,0,2,0,0,0,0,7,0,0,0,10,1,0,0,0,0,0,0,28,2,1,1,0,0,0,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,7,0,0,0,26,0,0,0,9,36,1,521.1086956521739,4.326086956521738,1.7407407407407407,2221.5652173913045,12645,2265.7,3663,7.530595813204507,0.041210652087953645,9801.615217391301,2.104494711796664
90712,0,0,2,0,7,0,0,0,0,11,0,0,0,8,2,0,6,2,3,0,0,35,5,0,0,3,0,0,1,2,8,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,25,0,4,1,0,0,29,1,0,0,1,48,0,985.1020408163264,4.108163265306122,1.7142857142857142,7442.591836734694,31063,7252.9,11027,7.042565597667638,0.031713036114229994,29796.09734693877,1.7389664334638961
90222,0,1,1,0,0,0,0,0,0,1,0,2,0,1,4,0,0,1,0,1,0,29,1,0,0,5,0,0,0,2,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,20,0,0,0,4,28,6,172.5263157894737,3.96578947368421,1.3529411764705883,4052.394736842106,32850,12766.7,8292,5.3654798761609905,0.005251942641993111,50630.04447368421,1.9514509685964174
90035,0,0,0,0,0,0,0,0,0,5,0,1,0,2,4,0,1,4,1,1,0,34,0,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,25,1,0,0,18,26,0,253.72727272727272,4.2795454545454525,1.8888888888888888,1888.3636363636365,28085,13713.0,14066,8.083585858585854,0.009034262870830433,58685.40681818179,2.5597693301505675
90405,1,0,3,0,8,0,2,0,0,16,0,1,0,3,0,0,0,0,2,1,1,35,2,0,0,4,0,0,0,1,5,0,0,1,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,34,3,0,0,12,39,0,329.5882352941176,4.364705882352942,1.8529411764705883,6190.078431372549,28115,10625.8,15156,8.087543252595157,0.011722860938791308,46378.49176470588,2.6253168623583623
90058,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,7,13,1,147.33333333333334,4.4523809523809526,1.6,2971.333333333333,2758,474.9,800,7.123809523809524,0.0534203529127387,2114.4357142857143,2.7057280585989596
90077,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,3,0,0,10,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,1,14,5,62.55,2.915,2.333333333333333,3614.35,8993,1226.4,3839,6.801666666666666,0.006955409763149116,3574.956,2.2498366086373096
90027,0,0,2,0,3,0,0,0,0,13,0,0,0,5,3,0,2,3,1,1,1,39,2,0,0,7,0,0,0,4,3,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,22,0,2,0,0,0,28,2,0,0,2,45,0,460.1914893617021,4.334042553191488,1.7142857142857142,1528.2978723404253,44686,5493.8,23848,7.429787234042551,0.010298337048778188,23810.3629787234,2.8166975032663433
90717,0,0,0,0,3,0,0,0,0,7,0,2,0,0,4,0,0,1,1,0,0,30,1,0,1,2,0,0,2,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,22,1,0,0,4,34,3,264.3414634146341,4.078048780487805,1.4615384615384617,7623.975609756098,21696,10951.2,8932,5.9602251407129465,0.012183880135261529,44659.52780487805,2.1329377585378633
91010,0,0,0,0,3,0,1,0,0,8,1,2,0,1,6,0,2,2,2,1,0,48,3,0,0,8,0,0,0,3,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,30,3,0,0,3,55,3,285.1147540983606,4.196721311475411,1.3783783783783785,8906.557377049181,26601,3778.5,8419,5.784669915817459,0.010718196838403091,15857.31147540984,1.8174778546016548
91016,0,0,2,0,10,0,0,0,0,17,0,2,0,5,2,0,4,2,1,1,1,44,1,0,0,4,0,0,1,4,4,0,0,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,28,0,0,1,0,0,33,2,0,0,6,50,1,312.9298245614035,4.347368421052633,1.6666666666666667,9047.666666666666,41671,4908.8,15173,7.245614035087722,0.007509534797854708,21340.362105263168,2.1162054184646815
91406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,4,0,507.8,4.38,1.3333333333333333,12400.2,55215,6790.0,18838,5.84,0.009196776238341031,29740.2,2.1922550400561747
90403,0,0,3,0,4,1,0,0,0,13,0,0,0,7,1,0,0,1,1,2,1,43,3,0,1,6,0,1,0,4,5,0,0,2,0,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,43,2,0,0,3,58,0,181.60655737704917,4.272131147540983,2.095238095238096,5889.032786885246,24354,17060.2,14709,8.951131928181109,0.007456949879980667,72883.41180327868,2.3308310177390394
90503,0,0,2,0,4,0,0,0,0,5,0,0,0,1,3,0,0,2,1,0,0,17,2,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,11,0,0,0,1,18,0,391.89473684210526,4.0,1.6428571428571428,6370.947368421053,44908,8477.3,17890,6.571428571428571,0.008726613005302067,33909.2,2.1207295659678547
90008,0,0,2,0,2,0,0,0,0,8,0,0,0,5,0,0,1,0,1,0,0,27,2,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,15,0,0,0,3,31,2,320.97222222222223,4.2250000000000005,1.5,522.8055555555555,31739,8640.9,16087,6.3375,0.010112864999597411,36507.802500000005,2.769432670892703
90814,1,0,0,0,2,0,0,0,0,5,0,0,0,5,1,0,0,1,0,0,0,18,0,0,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,17,1,0,0,3,23,0,288.61538461538464,4.526923076923079,1.7222222222222223,8507.384615384615,18587,13722.8,9649,7.796367521367524,0.01552780893180097,62122.06000000002,2.2436747608868846
90744,0,0,1,0,0,0,0,0,0,9,0,1,0,2,3,0,1,1,2,2,0,34,1,0,0,4,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,27,2,0,0,3,42,2,246.46808510638297,4.1191489361702125,1.3461538461538465,7923.1276595744675,57206,6860.6,15174,5.545008183306057,0.004308430673467521,28259.83319148936,2.0588013232466573
91030,0,0,2,0,9,0,0,0,0,16,0,0,0,2,0,0,0,0,3,1,0,37,0,0,0,3,0,0,2,1,6,0,0,1,0,3,0,0,0,2,1,0,0,1,0,0,0,1,0,0,24,0,0,0,0,0,32,0,0,0,11,41,2,197.2962962962963,4.3574074074074085,1.7272727272727273,9116.833333333334,25794,7561.9,10878,7.526430976430978,0.007648922086388164,32950.27907407408,2.3211109722282344
