zipcode,total_accounting,total_airport,total_amusement_park,total_art_gallery,total_atm,total_bakery,total_bank,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_bowling_alley,total_cafe,total_campground,total_car_dealer,total_car_rental,total_car_repair,total_car_wash,total_casino,total_cemetery,total_church,total_clothing_store,total_convenience_store,total_courthouse,total_dentist,total_department_store,total_doctor,total_drugstore,total_electrician,total_electronics_store,total_finance,total_fire_station,total_florist,total_food,total_funeral_home,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_gym,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_hospital,total_insurance_agency,total_jewelry_store,total_laundry,total_library,total_liquor_store,total_local_government_office,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_movie_theater,total_moving_company,total_museum,total_natural_feature,total_night_club,total_painter,total_park,total_parking,total_pet_store,total_pharmacy,total_place_of_worship,total_plumber,total_post_office,total_primary_school,total_real_estate_agency,total_restaurant,total_roofing_contractor,total_route,total_rv_park,total_school,total_shoe_store,total_shopping_mall,total_spa,total_stadium,total_storage,total_store,total_subpremise,total_supermarket,total_tourist_attraction,total_train_station,total_transit_station,total_travel_agency,total_university,total_veterinary_care,total_zoo,total_open_now_False,total_open_now_True,total_open_now_nan,mean_price_level,mean_rating,mean_user_ratings_total
10537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,2,1.0,4.88,13.8
10538,0,0,0,0,0,2,0,6,0,1,1,0,9,0,1,0,1,0,0,0,0,5,2,0,0,0,0,2,0,1,0,0,1,38,0,4,0,0,2,0,0,0,4,5,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,29,0,1,0,0,0,0,0,0,0,29,24,1,1.9333333333333333,4.168518518518518,105.0
10541,0,0,0,0,0,4,0,6,0,0,0,0,8,0,0,0,4,0,0,0,0,0,2,0,0,1,0,2,0,0,2,0,1,35,0,2,0,1,2,0,0,1,2,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,27,19,2,1.7391304347826086,4.304166666666667,124.41666666666667
10543,0,0,0,0,0,2,0,6,0,1,0,0,9,0,0,0,1,0,0,0,0,3,2,0,0,0,0,1,0,1,2,0,1,36,0,1,0,0,2,0,0,0,2,3,0,0,2,0,0,3,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,24,0,0,0,1,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,19,28,2,1.826086956521739,4.069387755102041,144.28571428571428
10546,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,9,0,0,3,1,2,0,0,2,2,4,0,0,1,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,1,0,13,5,5,1.75,3.369565217391304,68.82608695652173
10547,0,0,0,0,0,2,0,6,0,1,1,0,5,0,0,0,0,0,0,0,0,2,1,0,0,4,0,1,0,3,0,0,0,29,0,3,0,0,2,0,0,2,3,8,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,25,0,1,0,0,0,0,0,1,0,20,25,0,1.7,4.215555555555555,237.8
10548,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,11,8,8,2.0,3.7481481481481485,31.296296296296298
10549,0,0,0,0,0,5,0,5,0,1,0,0,10,0,1,0,2,0,0,0,0,5,1,0,0,2,0,1,0,3,1,0,3,41,0,4,0,0,3,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,33,25,1,1.85,4.2593220338983055,133.77966101694915
10550,0,0,0,0,0,3,0,7,0,0,0,0,10,0,0,0,3,0,0,0,0,3,2,0,0,3,0,2,0,7,1,0,1,35,0,4,0,2,3,0,0,0,2,7,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,15,33,2,1.5714285714285714,4.146,342.52
10552,0,0,0,0,1,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1,1,0,1,23,0,1,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,18,9,1.5454545454545454,3.197142857142858,97.31428571428572
