zipcode,name,place_id,price_level,rating,user_ratings_total,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bar,beauty_salon,bicycle_store,book_store,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,department_store,drugstore,electronics_store,establishment,finance,florist,food,funeral_home,furniture_store,gas_station,general_contractor,grocery_or_supermarket,hair_care,hardware_store,health,home_goods_store,jewelry_store,laundry,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,night_club,park,parking,pet_store,pharmacy,point_of_interest,premise,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,travel_agency,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,avg_price_level_by_zipcode,avg_rating_by_zipcode,avg_user_ratings_total_by_zipcode,total_number_of_bars_by_zipcode,total_number_of_cafes_by_zipcode,user_ratings_total_per_capita,rating_weighed_population_density,open_now_False,open_now_True,open_now_nan
11354,Starbucks,ChIJ5cPkuBtgwokRn55JgpGqjFA,2.0,2.9,63,coffee shops,11354,40.7571915,-73.83488740000001,"Q548+V2 Flushing, Queens, NY",87G8Q548+V2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,55200,25342.4,22500,11.727058823529413,5.8,1.6774193548387097,4.102380952380953,501.26190476190476,3,10,0.001141304347826087,73492.96,0,1,0
10454,China Wok,ChIJWe4uIsL1wokRQEYvCYUkQ3Q,1.0,4.4,25,restaurant,10454,40.8065818,-73.91870859999999,R34J+JG New York,87G8R34J+JG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,38203,36451.7,13942,20.34138729963591,4.4,1.434782608695652,4.191666666666666,195.33333333333334,4,8,0.000654398869198754,160387.48,0,1,0
11232,Parlay,ChIJ-fScHM9awokRQQEHMNgrJYg,1.0,4.5,366,coffee shops,11232,40.6464285,-73.9985982,"J2W2+HH Brooklyn, New York",87G8J2W2+HH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,27602,23174.4,9287,12.453010006883039,4.5,1.2962962962962963,4.353846153846154,417.4807692307692,5,13,0.013259908702267951,104284.8,1,0,0
11208,Toribio,ChIJz0czE8hdwokR6nseNNVy1Gw,1.0,4.2,328,restaurant,11208,40.6821357,-73.87815440000001,"M4JC+VP Brooklyn, New York",87G8M4JC+VP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,98660,27577.5,36961,11.445265509537721,4.2,1.2962962962962963,3.9604166666666667,299.0208333333333,3,9,0.003324548956010541,115825.5,0,1,0
11211,La Cafette,ChIJbXC6C19ZwokR_YV7Um0Ez7k,,4.7,93,restaurant,11211,40.71321560000001,-73.95632309999998,"P27V+7F Brooklyn, New York",87G8P27V+7F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,102624,44382.0,42322,14.080730080730081,,1.8055555555555556,4.371186440677967,245.20338983050848,11,19,0.0009062207670720299,208595.4,0,1,0
11204,Golden Dynasty,ChIJNbpEQ-BEwokRdlNMRGinEyk,1.0,4.2,86,restaurant,11204,40.614802000000005,-73.98080569999998,J279+WM New York,87G8J279+WM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,76978,48471.8,25732,16.581299588229385,4.2,1.4,4.131372549019607,193.6078431372549,0,11,0.0011172023175452727,203581.56000000003,0,1,0
10303,R a Deli,ChIJW02aLKxNwokR9cbPUzyaouc,1.0,4.5,119,restaurant,10303,40.6263419,-74.16227950000001,JRGQ+G3 New York,87G7JRGQ+G3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,25947,8253.8,9175,5.326257233287509,4.5,1.28,3.988888888888889,254.62222222222223,3,7,0.004586272016032682,37142.1,0,1,0
11219,Dream Eatery,ChIJse_oFEZFwokRM_LvGwLmjdA,1.0,4.3,59,restaurant,11219,40.629539,-74.01133159999998,"JXHQ+RF Brooklyn, New York",87G7JXHQ+RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,90036,60750.6,27060,22.00534419137295,4.3,1.4615384615384615,3.949999999999999,116.0,1,10,0.0006552934381802834,261227.58,0,1,0
10466,T-Mobile,ChIJ1SEkDifzwokRJw25DRAI_-0,2.0,3.9,40,stores,10466,40.893263899999994,-73.8572241,"V4VV+84 The Bronx, New York",87G8V4VV+84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,72479,35994.6,25110,8.211434232764146,7.8,1.380952380952381,3.7444444444444445,164.66666666666666,2,4,0.0005518839939844645,140378.94,0,1,0
11434,Mavis Discount Tire,ChIJgyePS8lmwokRTYykqxQIvKo,,4.3,281,stores,11434,40.6802248,-73.7769465,"M6JF+36 Jamaica, Queens, NY",87G8M6JF+36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,65791,20129.5,22575,6.468725384603019,,1.2777777777777777,3.786666666666667,426.8666666666667,1,4,0.0042711009104588775,86556.84999999999,1,0,0
