zipcode,name,open_now,place_id,rating,user_ratings_total,price_level,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,dentist,department_store,drugstore,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,liquor_store,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,movie_theater,moving_company,night_club,park,parking,pet_store,pharmacy,plumber,point_of_interest,premise,real_estate_agency,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,veterinary_care
13440,Copperccino's Coffee House,False,ChIJt3bS17wT2YkRof9qrBFTJQE,4.5,165.0,,coffee shops,90210,43.2126325,-75.46074899999999,"6G7Q+3P Rome, New York",87M66G7Q+3P,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
90293,Hacienda Playa,True,ChIJFzc6gWCwwoARlbAkyAtNypA,4.3,174.0,2.0,restaurant,90293,33.956895,-118.443073,"XH44+QQ Playa Del Rey, Los Angeles, CA",8553XH44+QQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
90403,Moondance Jewelry Gallery,True,ChIJOTGFdrGkwoARpFBZzWqLhBs,5.0,7.0,,stores,90402,34.03347249999999,-118.4933345,"2GM4+9M Santa Monica, California",85632GM4+9M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90254,McDonald's,True,ChIJ2_eI2IG0woAR55_l0UjJgZk,3.6,366.0,1.0,coffee shops,90254,33.8632342,-118.3929098,"VJ74+7R Hermosa Beach, California",8553VJ74+7R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
91506,Isabella’s Italian kitchen,True,ChIJVVVpVmiVwoARHVyv5hw5SKs,4.5,151.0,,restaurant,91504,34.1827233,-118.3256248,"5MMF+3Q Burbank, California",85635MMF+3Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
90033,Tienda de Segunda Fabi Thrift Store,True,ChIJf5xdaf3FwoARH8ujJmZoIQA,0.0,0.0,,stores,90033,34.0453519,-118.2048203,"2QWW+43 Los Angeles, California",85632QWW+43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
91340,Asumare Peruvian,True,ChIJqWS3TEuQwoAR_j0QsjavQNE,4.4,175.0,,restaurant,91340,34.2805544,-118.4396984,"7HJ6+64 San Fernando, California",85637HJ6+64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
91030,Foremost Liquor Stores,True,ChIJyw8fDmbEwoARFOWN-mdU6pA,4.5,100.0,,stores,91030,34.1113889,-118.1697222,"4R6J+H4 South Pasadena, California",85634R6J+H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11825,Ralphs,True,ChIJA_oj3cTTwoARM1-BMofjk7g,4.3,371.0,2.0,stores,90601,33.9820998,-118.0495535,"XXJ2+R5 Whittier, California",8553XXJ2+R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
23228,Pulp Fiction Lakeside,False,ChIJN3qwrjAXsYkRwm3dA8ekBqg,4.6,55.0,,coffee shops,90001,37.6033801,-77.4670021,"JG3M+95 Richmond, Virginia",8794JG3M+95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90404,Priscio coffee & Sandwiches,False,ChIJ60p_8za7woARisvnkDg08uI,4.8,55.0,,coffee shops,90404,34.0266189,-118.4789199,"2GGC+JC Santa Monica, California",85632GGC+JC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
90057,L.A. Tires,True,ChIJc1Sx4J3HwoARVBH1hfoE2z4,4.5,157.0,,stores,90057,34.057125,-118.2824712,"3P49+R2 Los Angeles, California",85633P49+R2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90266,Mangiamo Restaurant,True,ChIJeSNeZOuzwoARhSYDpFeNZd8,4.5,128.0,3.0,restaurant,90266,33.884412,-118.41094,"VHMQ+QJ Manhattan Beach, California",8553VHMQ+QJ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
07307,AutoZone Auto Parts,True,ChIJq-a6mXRXwokRN8ZHp035lpU,4.1,358.0,,stores,90302,40.7564263,-74.04493889999999,"QX44+H2 Jersey City, New Jersey",87G7QX44+H2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
91702,RAMEN NARUTO,True,ChIJjbkWADwnw4ARrlVaqSvT5OM,4.5,404.0,,restaurant,91702,34.1296467,-117.8821223,"44H9+V5 Azusa, California",856444H9+V5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
90290,Spiral Staircase,,ChIJA0GsN92hwoARcLRvixT1xBs,4.8,9.0,,stores,90290,34.0903167,-118.6046551,"39RW+44 Topanga, California",856339RW+44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11012,America's Tire,True,ChIJq_SVpJfSwoARlUk-wbnYNBs,4.6,246.0,,stores,90650,33.921567,-118.098979,"WWC2+JC Norwalk, California",8553WWC2+JC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11869,Crispy House,True,ChIJwyjosREt3YARkHhKYaeS3pc,4.4,119.0,1.0,restaurant,90701,33.87353,-118.0803131,"VWF9+CV Artesia, California",8553VWF9+CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
90704,Two's Co Of Avalon,,ChIJ9Umz05hy3YARv5_NRdqrOZA,4.2,5.0,,stores,90704,33.3429582,-118.3247933,"8MVG+53 Avalon, California",85538MVG+53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
04106,Omi's Coffee Shop,False,ChIJG_yBehicskwRdAEhJz8SJiQ,4.5,166.0,,coffee shops,90001,43.6356395,-70.23600569999999,"JQP7+7H South Portland, Maine",87MFJQP7+7H,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
90032,Blazing Stone Pizza,True,ChIJ55kUBTTEwoARReCQfxfYLoI,4.6,212.0,,restaurant,90032,34.086486,-118.187752,"3RP6+HV Los Angeles, California",85633RP6+HV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12215,Peet's Coffee,True,ChIJRTUWnvy9woARH-ImViGFfvM,4.7,214.0,1.0,coffee shops,91604,34.143409,-118.398965,"4JV2+9C Studio City, Los Angeles, CA",85634JV2+9C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90222,Grocery Outlet Bargain Market,True,ChIJvazX_VTKwoARaiit9rbCJ-s,4.6,944.0,1.0,stores,90222,33.9036836,-118.2551292,"WP3V+FW Compton, California",8553WP3V+FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
91741,Glendora Village Goldsmith,False,ChIJeyvRxjkmw4AR19CVAoCRBPE,4.9,9.0,,stores,91741,34.137708,-117.865193,"44QM+3W Glendora, California",856444QM+3W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
